,device_tag,mac_address,timestamps,quaternions_0,quaternions_1,quaternions_2,quaternions_3,accelerations_0,accelerations_1,accelerations_2
11,Movella DOT,D4:22:CD:07:AA:FB,183337,0.22132964432239532,0.012392151169478893,0.004449936561286449,0.9751102924346924,0.1945982426404953,0.15714657306671143,9.690942764282227
12,Movella DOT,D4:22:CD:07:AA:FB,200004,0.22143752872943878,0.01246904581785202,0.004411038476973772,0.9750849604606628,0.1785028576850891,0.1453244388103485,9.680758476257324
12,Movella DOT,D4:22:CD:07:A7:43,200004,0.6252681016921997,-0.0045714909210801125,0.0031314585357904434,0.7803905010223389,-0.11530154198408127,0.01206490583717823,10.199475288391113
13,Movella DOT,D4:22:CD:07:A7:43,216671,0.6251959800720215,-0.004646860528737307,0.0030018275137990713,0.7804483771324158,-0.12376682460308075,0.0011850111186504364,10.16784381866455
13,Movella DOT,D4:22:CD:07:AA:FB,216671,0.22163300216197968,0.01253566425293684,0.004360790364444256,0.9750398397445679,0.17025291919708252,0.1419372409582138,9.682140350341797
14,Movella DOT,D4:22:CD:07:AA:FB,233338,0.22167186439037323,0.012583030387759209,0.00431540934368968,0.9750306606292725,0.17809464037418365,0.12581147253513336,9.686004638671875
14,Movella DOT,D4:22:CD:07:A7:43,233338,0.6251739263534546,-0.004727165214717388,0.002883226377889514,0.7804659605026245,-0.10914529860019684,0.0013429358368739486,10.21253776550293
15,Movella DOT,D4:22:CD:07:A7:43,250005,0.6252526640892029,-0.004821680020540953,0.0027458244003355503,0.780402660369873,-0.12690609693527222,-0.0009486478520557284,10.1930570602417
15,Movella DOT,D4:22:CD:07:AA:FB,250005,0.22195544838905334,0.012639488093554974,0.004254109691828489,0.9749657511711121,0.17599816620349884,0.14630213379859924,9.653042793273926
16,Movella DOT,D4:22:CD:07:AA:FB,266672,0.22202914953231812,0.012692262418568134,0.0041902088560163975,0.974948525428772,0.18594329059123993,0.1331997662782669,9.700861930847168
16,Movella DOT,D4:22:CD:07:A7:43,266672,0.6252164840698242,-0.0049081542529165745,0.0026082422118633986,0.7804316282272339,-0.11740413308143616,0.008992192335426807,10.190826416015625
17,Movella DOT,D4:22:CD:07:A7:43,283339,0.6252248287200928,-0.004996291361749172,0.002470714971423149,0.7804248332977295,-0.11439946293830872,0.016042444854974747,10.183926582336426
17,Movella DOT,D4:22:CD:07:AA:FB,283339,0.22193767130374908,0.012727753259241581,0.004141970071941614,0.9749690890312195,0.1939699649810791,0.14497871696949005,9.678864479064941
18,Movella DOT,D4:22:CD:07:AA:FB,300006,0.22180762887001038,0.012779368087649345,0.004081970080733299,0.9749982357025146,0.20017561316490173,0.15204598009586334,9.682107925415039
18,Movella DOT,D4:22:CD:07:A7:43,300006,0.6252356767654419,-0.00508105056360364,0.0023356997407972813,0.780415952205658,-0.1162869781255722,0.03517904132604599,10.191082000732422
19,Movella DOT,D4:22:CD:07:A7:43,316673,0.625262439250946,-0.005162858869880438,0.0021972525864839554,0.7803943753242493,-0.1008564904332161,0.04129602760076523,10.170002937316895
19,Movella DOT,D4:22:CD:07:AA:FB,316673,0.22222325205802917,0.012835884466767311,0.00401461124420166,0.9749032258987427,0.2116515189409256,0.168411523103714,9.67078685760498
20,Movella DOT,D4:22:CD:07:AA:FB,333340,0.2218264639377594,0.012900191359221935,0.003962960094213486,0.9749928116798401,0.21309320628643036,0.14448826014995575,9.703099250793457
