device_tag,mac_address,timestamps,quaternions_0,quaternions_1,quaternions_2,quaternions_3,accelerations_0,accelerations_1,accelerations_2
Movella DOT,D4:22:CD:07:AA:FB,0,0.9657003283500671,0.0003290589083917439,-0.0037539235781878233,-0.2596316933631897,33.69114685058594,141.85806274414062,-99.38346862792969
Movella DOT,D4:22:CD:07:A7:43,0,0.539003849029541,-0.012821849435567856,0.022442396730184555,0.8419065475463867,0.13655520975589752,-0.3024335503578186,0.45561107993125916
Movella DOT,D4:22:CD:07:A7:43,16667,0.5391457676887512,-0.012882263399660587,0.022340143099427223,0.8418176174163818,-0.4365026354789734,0.253555566072464,10.157981872558594
Movella DOT,D4:22:CD:07:AA:FB,16667,0.965703010559082,0.000354589254129678,-0.003796869423240423,-0.2596219480037689,0.05062725767493248,0.053043778985738754,9.69605827331543
Movella DOT,D4:22:CD:07:A7:43,33334,0.5389440655708313,-0.012777564115822315,0.02213525027036667,0.8419538736343384,-0.4091397225856781,0.2318585216999054,10.162181854248047
Movella DOT,D4:22:CD:07:AA:FB,33334,0.9657077789306641,0.0005505107110366225,-0.0037883026525378227,-0.2596035301685333,0.03227801248431206,0.08977139741182327,9.671562194824219
Movella DOT,D4:22:CD:07:AA:FB,50001,0.9656521081924438,0.0009907300118356943,-0.0037377364933490753,-0.25981009006500244,0.028920073062181473,0.11471077054738998,9.672994613647461
Movella DOT,D4:22:CD:07:A7:43,50001,0.5389095544815063,-0.012590662576258183,0.021785160526633263,0.8419878482818604,-0.4003547728061676,0.21471521258354187,10.17134952545166
Movella DOT,D4:22:CD:07:AA:FB,66668,0.9656012058258057,0.0015283131506294012,-0.0036906625609844923,-0.2599969506263733,0.04102584719657898,0.10513273626565933,9.677090644836426
Movella DOT,D4:22:CD:07:A7:43,66668,0.5385149121284485,-0.012427834793925285,0.021360298618674278,0.8422535061836243,-0.38969603180885315,0.21878129243850708,10.178757667541504
Movella DOT,D4:22:CD:07:A7:43,83335,0.5383882522583008,-0.012269445694983006,0.020938454195857048,0.8423474431037903,-0.4049423933029175,0.20781570672988892,10.17496109008789
Movella DOT,D4:22:CD:07:AA:FB,83335,0.9655666947364807,0.0019403385231271386,-0.003703819587826729,-0.2601225972175598,0.06437765061855316,0.08120627701282501,9.674826622009277
Movella DOT,D4:22:CD:07:A7:43,100002,0.5385626554489136,-0.012160911224782467,0.020547643303871155,0.8422471284866333,-0.4512026309967041,0.21689437329769135,10.17553424835205
Movella DOT,D4:22:CD:07:AA:FB,100002,0.9655393362045288,0.002174230059608817,-0.0037796192336827517,-0.26022085547447205,0.09398718178272247,0.05684257298707962,9.684885025024414
Movella DOT,D4:22:CD:07:AA:FB,116669,0.9654908776283264,0.0022460496984422207,-0.0039253742434084415,-0.26039808988571167,0.09567625820636749,0.05712253972887993,9.687947273254395
Movella DOT,D4:22:CD:07:A7:43,116669,0.5386592745780945,-0.012140154838562012,0.020244687795639038,0.8421930074691772,-0.4657362103462219,0.2079162299633026,10.180184364318848
Movella DOT,D4:22:CD:07:A7:43,133336,0.5386543869972229,-0.012191226705908775,0.01998472400009632,0.8422017097473145,-0.46951618790626526,0.23272715508937836,10.174001693725586
Movella DOT,D4:22:CD:07:AA:FB,133336,0.9654311537742615,0.0022405036725103855,-0.004097228869795799,-0.2606167793273926,0.09966257214546204,0.03533376380801201,9.709161758422852
Movella DOT,D4:22:CD:07:AA:FB,150003,0.9654020071029663,0.0021567405201494694,-0.004277086816728115,-0.26072242856025696,0.06477081775665283,0.03371952846646309,9.696860313415527
Movella DOT,D4:22:CD:07:A7:43,150003,0.5388175845146179,-0.012272953055799007,0.019795702770352364,0.8421005010604858,-0.48037096858024597,0.2349029928445816,10.184802055358887
Movella DOT,D4:22:CD:07:A7:43,166670,0.5386644601821899,-0.012381927110254765,0.01963038370013237,0.8422006368637085,-0.4501732885837555,0.2489420771598816,10.179201126098633
Movella DOT,D4:22:CD:07:AA:FB,166670,0.9653711915016174,0.0020428954157978296,-0.004409729037433863,-0.2608354389667511,0.056394413113594055,0.046044476330280304,9.711549758911133
Movella DOT,D4:22:CD:07:A7:43,183337,0.5387628078460693,-0.012466087937355042,0.0195019468665123,0.842139482498169,-0.41586169600486755,0.24457484483718872,10.179244041442871
Movella DOT,D4:22:CD:07:AA:FB,183337,0.9653392434120178,0.0019188402220606804,-0.0045294431038200855,-0.26095259189605713,0.05162200331687927,0.05769439786672592,9.697266578674316
Movella DOT,D4:22:CD:07:AA:FB,200004,0.9652993679046631,0.0018114898120984435,-0.004615796729922295,-0.26109883189201355,0.04275352507829666,0.07933195680379868,9.680500984191895
Movella DOT,D4:22:CD:07:A7:43,200004,0.5386451482772827,-0.012528722174465656,0.019369114190340042,0.8422168493270874,-0.415939599275589,0.2417762279510498,10.180753707885742
Movella DOT,D4:22:CD:07:A7:43,216671,0.5387733578681946,-0.012585834600031376,0.01923244446516037,0.8421372175216675,-0.39633509516716003,0.23991943895816803,10.179120063781738
Movella DOT,D4:22:CD:07:AA:FB,216671,0.9652560949325562,0.0017127981409430504,-0.004697386175394058,-0.2612578868865967,0.022034505382180214,0.08990267664194107,9.702016830444336
Movella DOT,D4:22:CD:07:AA:FB,233338,0.9652224779129028,0.0016392434481531382,-0.004753654357045889,-0.261381596326828,0.036978039890527725,0.09099514782428741,9.690312385559082
Movella DOT,D4:22:CD:07:A7:43,233338,0.5387095212936401,-0.01262618787586689,0.019106561318039894,0.8421803116798401,-0.3905234634876251,0.22969704866409302,10.16661548614502
Movella DOT,D4:22:CD:07:A7:43,250005,0.538713276386261,-0.01265784166753292,0.018980151042342186,0.8421803712844849,-0.4119924008846283,0.22893309593200684,10.174783706665039
Movella DOT,D4:22:CD:07:AA:FB,250005,0.9651868343353271,0.0015758353983983397,-0.0048147584311664104,-0.26151242852211,0.052919354289770126,0.07761412113904953,9.701927185058594
Movella DOT,D4:22:CD:07:AA:FB,266672,0.9651689529418945,0.0015094043919816613,-0.00487233093008399,-0.26157787442207336,0.08286946266889572,0.054453760385513306,9.692357063293457
